No.,Month,Year,Line,Number_Accident,Delay,Solving_Problem,Traction_System,Brake_System,Door_System,Electrification_System,Rail/Third Rail,Turnout_Point_Machine,Axel_Counter,Signalling_System,External,Other
181,มีนาคม,2567,สายสีทอง,2,14,14,1,0,0,0,0,1,0,0,0,0
182,มีนาคม,2567,สายสีน้ำเงิน ,2,95,95,0,0,0,0,0,1,0,1,0,0
183,มีนาคม,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
184,มีนาคม,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),7,10,104,4,1,0,0,0,1,0,1,0,0
185,มีนาคม,2567,สายสีแดงเหนือ,2,175,175,0,0,0,0,0,2,0,0,0,0
186,มีนาคม,2567,สายสีแดงตะวันตก,1,18,18,0,0,0,0,0,0,0,1,0,0
187,มีนาคม,2567,สายสีเหลือง,5,517,517,0,0,0,0,1,4,0,0,0,0
188,มีนาคม,2567,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
189,เมษายน,2567,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
190,เมษายน,2567,สายสีเขียว (สายสีลม),1,13,13,0,0,0,0,0,0,0,0,0,1
191,เมษายน,2567,สายสีทอง,2,15,116,0,0,0,0,0,2,0,0,0,0
192,เมษายน,2567,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
193,เมษายน,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
194,เมษายน,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),3,15,15,2,0,0,0,0,0,0,0,0,1
195,เมษายน,2567,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
196,เมษายน,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
197,เมษายน,2567,สายสีเหลือง,1,710,710,0,0,0,0,0,1,0,0,0,0
198,เมษายน,2567,สายสีชมพู,1,44,44,0,0,0,0,0,1,0,0,0,0
199,พฤษภาคม,2567,สายสีเขียว (สายสุขุมวิท),2,14,28,0,0,0,0,0,0,0,1,0,1
200,พฤษภาคม,2567,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
201,พฤษภาคม,2567,สายสีทอง,0,0,0,0,0,0,0,0,0,0,0,0,0
202,พฤษภาคม,2567,สายสีน้ำเงิน ,1,5,5,0,0,0,0,0,0,0,0,0,1
203,พฤษภาคม,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
204,พฤษภาคม,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),5,45,72,2,2,1,0,0,0,0,0,0,0
205,พฤษภาคม,2567,สายสีแดงเหนือ,3,20,272,1,1,0,0,0,0,0,1,0,0
206,พฤษภาคม,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
207,พฤษภาคม,2567,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
208,พฤษภาคม,2567,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
209,มิถุนายน,2567,สายสีเขียว (สายสุขุมวิท),2,17,17,1,0,0,0,0,0,0,1,0,0
210,มิถุนายน,2567,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
